datetime,equity,cash,position,close,daily_return,drawdown
2022-01-01 05:30:00,1000.0000000000,1000.0000000000,0,47722.6500000000,0.0000000000,0.0000000000
2022-01-02 05:30:00,1000.0000000000,1000.0000000000,0,47286.1800000000,0.0000000000,0.0000000000
2022-01-03 05:30:00,1000.0000000000,1000.0000000000,0,46446.1000000000,0.0000000000,0.0000000000
2022-01-04 05:30:00,1000.0000000000,1000.0000000000,0,45832.0100000000,0.0000000000,0.0000000000
2022-01-05 05:30:00,1000.0000000000,1000.0000000000,0,43451.1300000000,0.0000000000,0.0000000000
2022-01-06 05:30:00,1006.9779180077,1997.0044932601,-1,43082.3100000000,0.0069779180,0.0000000000
2022-01-07 05:30:00,1041.8115187029,1997.0044932601,-1,41566.4800000000,0.0345922190,0.0000000000
2022-01-08 05:30:00,1039.2088168071,1997.0044932601,-1,41679.7400000000,-0.0024982464,-0.0024982464
2022-01-09 05:30:00,1034.9602954712,1997.0044932601,-1,41864.6200000000,-0.0040882268,-0.0065762598
2022-01-10 05:30:00,1035.9284380712,1997.0044932601,-1,41822.4900000000,0.0009354394,-0.0056469722
2022-01-11 05:30:00,1015.0902773867,1997.0044932601,-1,42729.2900000000,-0.0201154442,-0.0256488250
2022-01-12 05:30:00,988.1263684736,1997.0044932601,-1,43902.6600000000,-0.0265630649,-0.0515305785
2022-01-13 05:30:00,1018.9780145113,1997.0044932601,-1,42560.1100000000,0.0312223689,-0.0219171163
2022-01-14 05:30:00,1007.4915184613,1997.0044932601,-1,43059.9600000000,-0.0112725651,-0.0329426193
2022-01-15 05:30:00,1006.9324178333,1997.0044932601,-1,43084.2900000000,-0.0005549433,-0.0334792813
2022-01-16 05:30:00,1007.2226537943,1997.0044932601,-1,43071.6600000000,0.0002882378,-0.0332006935
2022-01-17 05:30:00,1027.2160738670,1997.0044932601,-1,42201.6200000000,0.0198500500,-0.0140096789
2022-01-18 05:30:00,1023.7576010141,1997.0044932601,-1,42352.1200000000,-0.0033668407,-0.0173293512
2022-01-19 05:30:00,1039.6622099591,1997.0044932601,-1,41660.0100000000,0.0155355222,-0.0020630495
2022-01-20 05:30:00,1062.1618164062,1997.0044932601,-1,40680.9100000000,0.0216412660,0.0000000000
2022-01-21 05:30:00,1159.4954218266,1997.0044932601,-1,36445.3100000000,0.0916372665,0.0000000000
2022-01-22 05:30:00,1191.0672574935,1997.0044932601,-1,35071.4200000000,0.0272289438,0.0000000000
2022-01-23 05:30:00,1164.1088637531,1997.0044932601,-1,36244.5500000000,-0.0226338131,-0.0226338131
2022-01-24 05:30:00,1154.5538271270,1997.0044932601,-1,36660.3500000000,-0.0082080267,-0.0306560609
2022-01-25 05:30:00,1147.7065104759,1997.0044932601,-1,36958.3200000000,-0.0059307037,-0.0364049526
2022-01-26 05:30:00,1151.1300539020,1997.0044932601,-1,36809.3400000000,0.0029829433,-0.0335306032
2022-01-27 05:30:00,1143.0696290656,1997.0044932601,-1,37160.1000000000,-0.0070021843,-0.0402980001
2022-01-28 05:30:00,1130.2822416654,1997.0044932601,-1,37716.5600000000,-0.0111868840,-0.0510340751
2022-01-29 05:30:00,1119.9348585677,1997.0044932601,-1,38166.8400000000,-0.0091546896,-0.0597215636
2022-01-30 05:30:00,1126.4859644873,1997.0044932601,-1,37881.7600000000,0.0058495419,-0.0542213654
2022-01-31 05:30:00,1113.0395139548,1997.0044932601,-1,38466.9000000000,-0.0119366339,-0.0655107787
2022-02-01 05:30:00,1111.7135664858,1111.7135664858,0,38694.5900000000,-0.0011912852,-0.0666240219
2022-02-02 05:30:00,1111.7135664858,1111.7135664858,0,36896.3600000000,0.0000000000,-0.0666240219
2022-02-03 05:30:00,1111.7135664858,1111.7135664858,0,37311.6100000000,0.0000000000,-0.0666240219
2022-02-04 05:30:00,1111.7135664858,1111.7135664858,0,41574.2500000000,0.0000000000,-0.0666240219
2022-02-05 05:30:00,1111.7135664858,1111.7135664858,0,41382.5900000000,0.0000000000,-0.0666240219
2022-02-06 05:30:00,1111.7135664858,1111.7135664858,0,42380.8700000000,0.0000000000,-0.0666240219
2022-02-07 05:30:00,1111.7135664858,1111.7135664858,0,43839.9900000000,0.0000000000,-0.0666240219
2022-02-08 05:30:00,1111.7135664858,1111.7135664858,0,44042.9900000000,0.0000000000,-0.0666240219
2022-02-09 05:30:00,1111.7135664858,1111.7135664858,0,44372.7200000000,0.0000000000,-0.0666240219
2022-02-10 05:30:00,1111.7135664858,1111.7135664858,0,43495.4400000000,0.0000000000,-0.0666240219
2022-02-11 05:30:00,1111.7135664858,1111.7135664858,0,42373.7300000000,0.0000000000,-0.0666240219
2022-02-12 05:30:00,1111.7135664858,1111.7135664858,0,42217.8700000000,0.0000000000,-0.0666240219
2022-02-13 05:30:00,1111.7135664858,1111.7135664858,0,42053.6600000000,0.0000000000,-0.0666240219
2022-02-14 05:30:00,1111.7135664858,1111.7135664858,0,42535.9400000000,0.0000000000,-0.0666240219
2022-02-15 05:30:00,1111.7135664858,1111.7135664858,0,44544.8600000000,0.0000000000,-0.0666240219
2022-02-16 05:30:00,1111.7135664858,1111.7135664858,0,43873.5600000000,0.0000000000,-0.0666240219
2022-02-17 05:30:00,1111.7135664858,1111.7135664858,0,40515.7000000000,0.0000000000,-0.0666240219
2022-02-18 05:30:00,1111.7135664858,1111.7135664858,0,39974.4400000000,0.0000000000,-0.0666240219
2022-02-19 05:30:00,1111.7135664858,1111.7135664858,0,40079.1700000000,0.0000000000,-0.0666240219
2022-02-20 05:30:00,1111.7135664858,1111.7135664858,0,38386.8900000000,0.0000000000,-0.0666240219
2022-02-21 05:30:00,1111.7135664858,1111.7135664858,0,37008.1600000000,0.0000000000,-0.0666240219
2022-02-22 05:30:00,1111.7135664858,1111.7135664858,0,38230.3300000000,0.0000000000,-0.0666240219
2022-02-23 05:30:00,1111.7135664858,1111.7135664858,0,37250.0100000000,0.0000000000,-0.0666240219
2022-02-24 05:30:00,1111.7135664858,1111.7135664858,0,38327.2100000000,0.0000000000,-0.0666240219
2022-02-25 05:30:00,1111.7135664858,1111.7135664858,0,39219.1700000000,0.0000000000,-0.0666240219
2022-02-26 05:30:00,1111.7135664858,1111.7135664858,0,39116.7200000000,0.0000000000,-0.0666240219
2022-02-27 05:30:00,1111.7135664858,1111.7135664858,0,37699.0700000000,0.0000000000,-0.0666240219
2022-02-28 05:30:00,1111.7135664858,1111.7135664858,0,43160.0000000000,0.0000000000,-0.0666240219
2022-03-01 05:30:00,1111.7135664858,1111.7135664858,0,44421.2000000000,0.0000000000,-0.0666240219
2022-03-02 05:30:00,1111.7135664858,1111.7135664858,0,43892.9800000000,0.0000000000,-0.0666240219
2022-03-03 05:30:00,1111.7135664858,1111.7135664858,0,42454.0000000000,0.0000000000,-0.0666240219
2022-03-04 05:30:00,1111.7135664858,1111.7135664858,0,39148.6600000000,0.0000000000,-0.0666240219
2022-03-05 05:30:00,1111.7135664858,1111.7135664858,0,39397.9600000000,0.0000000000,-0.0666240219
2022-03-06 05:30:00,1111.7135664858,1111.7135664858,0,38420.8100000000,0.0000000000,-0.0666240219
2022-03-07 05:30:00,1111.7135664858,1111.7135664858,0,37988.0000000000,0.0000000000,-0.0666240219
2022-03-08 05:30:00,1111.7135664858,1111.7135664858,0,38730.6300000000,0.0000000000,-0.0666240219
2022-03-09 05:30:00,1111.7135664858,1111.7135664858,0,41941.7100000000,0.0000000000,-0.0666240219
2022-03-10 05:30:00,1111.7135664858,1111.7135664858,0,39422.0000000000,0.0000000000,-0.0666240219
2022-03-11 05:30:00,1111.7135664858,1111.7135664858,0,38729.5700000000,0.0000000000,-0.0666240219
2022-03-12 05:30:00,1111.7135664858,1111.7135664858,0,38807.3600000000,0.0000000000,-0.0666240219
2022-03-13 05:30:00,1111.7135664858,1111.7135664858,0,37777.3400000000,0.0000000000,-0.0666240219
2022-03-14 05:30:00,1111.7135664858,1111.7135664858,0,39671.3700000000,0.0000000000,-0.0666240219
2022-03-15 05:30:00,1111.7135664858,1111.7135664858,0,39280.3300000000,0.0000000000,-0.0666240219
2022-03-16 05:30:00,1111.7135664858,1111.7135664858,0,41114.0000000000,0.0000000000,-0.0666240219
2022-03-17 05:30:00,1111.7135664858,1111.7135664858,0,40917.9000000000,0.0000000000,-0.0666240219
2022-03-18 05:30:00,1111.7135664858,1111.7135664858,0,41757.5100000000,0.0000000000,-0.0666240219
2022-03-19 05:30:00,1111.7135664858,1111.7135664858,0,42201.1300000000,0.0000000000,-0.0666240219
2022-03-20 05:30:00,1111.7135664858,1111.7135664858,0,41262.1100000000,0.0000000000,-0.0666240219
2022-03-21 05:30:00,1111.7135664858,1111.7135664858,0,41002.2500000000,0.0000000000,-0.0666240219
2022-03-22 05:30:00,1111.7135664858,1111.7135664858,0,42364.1300000000,0.0000000000,-0.0666240219
2022-03-23 05:30:00,1111.7135664858,1111.7135664858,0,42882.7600000000,0.0000000000,-0.0666240219
2022-03-24 05:30:00,1111.7135664858,1111.7135664858,0,43991.4600000000,0.0000000000,-0.0666240219
2022-03-25 05:30:00,1111.7135664858,1111.7135664858,0,44313.1600000000,0.0000000000,-0.0666240219
2022-03-26 05:30:00,1111.7135664858,1111.7135664858,0,44511.2700000000,0.0000000000,-0.0666240219
2022-03-27 05:30:00,1111.7135664858,1111.7135664858,0,46827.7600000000,0.0000000000,-0.0666240219
2022-03-28 05:30:00,1111.7135664858,1111.7135664858,0,47122.2100000000,0.0000000000,-0.0666240219
2022-03-29 05:30:00,1117.4121139714,0.0000000000,1,47434.8000000000,0.0051259134,-0.0618396174
2022-03-30 05:30:00,1108.7712440294,0.0000000000,1,47067.9900000000,-0.0077329303,-0.0690943462
2022-03-31 05:30:00,1072.0779939403,0.0000000000,1,45510.3400000000,-0.0330936163,-0.0999013807
2022-04-01 05:30:00,1090.2909341427,0.0000000000,1,46283.4900000000,0.0169884470,-0.0846101030
2022-04-02 05:30:00,1079.1605815381,0.0000000000,1,45811.0000000000,-0.0102086079,-0.0939549595
2022-04-03 05:30:00,1093.2086794360,0.0000000000,1,46407.3500000000,0.0130176159,-0.0821604132
2022-04-04 05:30:00,1097.2877749873,0.0000000000,1,46580.5100000000,0.0037313055,-0.0787356733
2022-04-05 05:30:00,1071.7767024636,0.0000000000,1,45497.5500000000,-0.0232492087,-0.1001543400
2022-04-06 05:30:00,1016.9581434693,0.0000000000,1,43170.4700000000,-0.0511473695,-0.1461790784
2022-04-07 05:30:00,1015.4327062541,1015.4327062541,0,43444.1900000000,-0.0015000000,-0.1474598098
2022-04-08 05:30:00,1015.4327062541,1015.4327062541,0,42252.0100000000,0.0000000000,-0.1474598098
2022-04-09 05:30:00,1015.4327062541,1015.4327062541,0,42753.9700000000,0.0000000000,-0.1474598098
2022-04-10 05:30:00,1015.4327062541,1015.4327062541,0,42158.8500000000,0.0000000000,-0.1474598098
2022-04-11 05:30:00,1015.4327062541,1015.4327062541,0,39530.4500000000,0.0000000000,-0.1474598098
2022-04-12 05:30:00,1015.4327062541,1015.4327062541,0,40074.9400000000,0.0000000000,-0.1474598098
2022-04-13 05:30:00,1015.4327062541,1015.4327062541,0,41147.7900000000,0.0000000000,-0.1474598098
2022-04-14 05:30:00,1015.4327062541,1015.4327062541,0,39942.3800000000,0.0000000000,-0.1474598098
2022-04-15 05:30:00,1015.4327062541,1015.4327062541,0,40551.9000000000,0.0000000000,-0.1474598098
2022-04-16 05:30:00,1015.4327062541,1015.4327062541,0,40378.7100000000,0.0000000000,-0.1474598098
2022-04-17 05:30:00,1015.4327062541,1015.4327062541,0,39678.1200000000,0.0000000000,-0.1474598098
2022-04-18 05:30:00,1015.4327062541,1015.4327062541,0,40801.1300000000,0.0000000000,-0.1474598098
2022-04-19 05:30:00,1015.4327062541,1015.4327062541,0,41493.1800000000,0.0000000000,-0.1474598098
2022-04-20 05:30:00,1015.4327062541,1015.4327062541,0,41358.1900000000,0.0000000000,-0.1474598098
2022-04-21 05:30:00,1015.4327062541,1015.4327062541,0,40480.0100000000,0.0000000000,-0.1474598098
2022-04-22 05:30:00,1015.4327062541,1015.4327062541,0,39709.1800000000,0.0000000000,-0.1474598098
2022-04-23 05:30:00,1015.4327062541,1015.4327062541,0,39441.6000000000,0.0000000000,-0.1474598098
2022-04-24 05:30:00,1015.4327062541,1015.4327062541,0,39450.1300000000,0.0000000000,-0.1474598098
2022-04-25 05:30:00,1015.4327062541,1015.4327062541,0,40426.0800000000,0.0000000000,-0.1474598098
2022-04-26 05:30:00,1015.4327062541,1015.4327062541,0,38112.6500000000,0.0000000000,-0.1474598098
2022-04-27 05:30:00,984.0345036390,2027.8236769928,-1,39235.7200000000,-0.0309210078,-0.1738212117
2022-04-28 05:30:00,970.5640576289,2027.8236769928,-1,39742.0700000000,-0.0136889977,-0.1851307711
2022-04-29 05:30:00,1001.0500698926,2027.8236769928,-1,38596.1100000000,0.0314106133,-0.1595352289
2022-04-30 05:30:00,1026.7302441555,2027.8236769928,-1,37630.8000000000,0.0256532366,-0.1379745873
2022-05-01 05:30:00,1004.4488734519,2027.8236769928,-1,38468.3500000000,-0.0217012899,-0.1566816507
2022-05-02 05:30:00,1002.9375551191,2027.8236769928,-1,38525.1600000000,-0.0015046244,-0.1579505281
2022-05-03 05:30:00,1024.1191564180,2027.8236769928,-1,37728.9500000000,0.0211195614,-0.1401668126
2022-05-04 05:30:00,971.9492775830,2027.8236769928,-1,39690.0000000000,-0.0509412196,-0.1839677638
2022-05-05 05:30:00,1055.4037917473,2027.8236769928,-1,36552.9700000000,0.0858630343,-0.1139007599
2022-05-06 05:30:00,1069.7481474077,2027.8236769928,-1,36013.7700000000,0.0135913437,-0.1018574806
2022-05-07 05:30:00,1084.1504976811,2027.8236769928,-1,35472.3900000000,0.0134633094,-0.0897655100
2022-05-08 05:30:00,1122.2989816824,2027.8236769928,-1,34038.4000000000,0.0351874431,-0.0577366856
2022-05-09 05:30:00,1227.7025946619,2027.8236769928,-1,30076.3100000000,0.0939175876,0.0000000000
2022-05-10 05:30:00,1202.6747267803,2027.8236769928,-1,31017.1000000000,-0.0203859371,-0.0203859371
2022-05-11 05:30:00,1253.5705863413,2027.8236769928,-1,29103.9400000000,0.0423188901,0.0000000000
2022-05-12 05:30:00,1255.5442653962,2027.8236769928,-1,29029.7500000000,0.0015744459,0.0000000000
2022-05-13 05:30:00,1248.6993048780,2027.8236769928,-1,29287.0500000000,-0.0054517875,-0.0054517875
2022-05-14 05:30:00,1227.4251250225,2027.8236769928,-1,30086.7400000000,-0.0170370719,-0.0223959769
2022-05-15 05:30:00,1194.3801669669,2027.8236769928,-1,31328.8900000000,-0.0269221783,-0.0487152067
2022-05-16 05:30:00,1233.0843883379,2027.8236769928,-1,29874.0100000000,0.0324052780,-0.0178885585
2022-05-17 05:30:00,1217.8961844550,2027.8236769928,-1,30444.9300000000,-0.0123172461,-0.0299854668
2022-05-18 05:30:00,1263.9090572180,2027.8236769928,-1,28715.3200000000,0.0377806199,0.0000000000
2022-05-19 05:30:00,1221.2401857653,2027.8236769928,-1,30319.2300000000,-0.0337594475,-0.0337594475
2022-05-20 05:30:00,1250.9882298799,2027.8236769928,-1,29201.0100000000,0.0243588808,-0.0102229090
2022-05-21 05:30:00,1244.4957595555,2027.8236769928,-1,29445.0600000000,-0.0051898732,-0.0153597267
2022-05-22 05:30:00,1221.9129764824,2027.8236769928,-1,30293.9400000000,-0.0181461310,-0.0332271381
2022-05-23 05:30:00,1253.4319845367,2027.8236769928,-1,29109.1500000000,0.0257948059,-0.0082894197
2022-05-24 05:30:00,1238.9218919777,2027.8236769928,-1,29654.5800000000,-0.0115762903,-0.0197697493
2022-05-25 05:30:00,1241.9128710335,2027.8236769928,-1,29542.1500000000,0.0024141789,-0.0174032982
2022-05-26 05:30:00,1250.9791848485,2027.8236769928,-1,29201.3500000000,0.0073002817,-0.0102300654
2022-05-27 05:30:00,1266.1841486425,2027.8236769928,-1,28629.8000000000,0.0121544499,0.0000000000
2022-05-28 05:30:00,1255.5022326033,2027.8236769928,-1,29031.3300000000,-0.0084363053,-0.0084363053
2022-05-29 05:30:00,1243.8828256638,2027.8236769928,-1,29468.1000000000,-0.0092547880,-0.0176130170
2022-05-30 05:30:00,1183.5971594005,2027.8236769928,-1,31734.2200000000,-0.0484657116,-0.0652251012
2022-05-31 05:30:00,1182.3305531947,1182.3305531947,0,31801.0400000000,-0.0010701329,-0.0662254345
2022-06-01 05:30:00,1182.3305531947,1182.3305531947,0,29805.8300000000,0.0000000000,-0.0662254345
2022-06-02 05:30:00,1182.3305531947,1182.3305531947,0,30452.6200000000,0.0000000000,-0.0662254345
2022-06-03 05:30:00,1182.3305531947,1182.3305531947,0,29700.2100000000,0.0000000000,-0.0662254345
2022-06-04 05:30:00,1182.3305531947,1182.3305531947,0,29864.0400000000,0.0000000000,-0.0662254345
2022-06-05 05:30:00,1182.3305531947,1182.3305531947,0,29919.2100000000,0.0000000000,-0.0662254345
2022-06-06 05:30:00,1182.3305531947,1182.3305531947,0,31373.1000000000,0.0000000000,-0.0662254345
2022-06-07 05:30:00,1182.3305531947,1182.3305531947,0,31125.3300000000,0.0000000000,-0.0662254345
2022-06-08 05:30:00,1182.3305531947,1182.3305531947,0,30204.7700000000,0.0000000000,-0.0662254345
2022-06-09 05:30:00,1182.3305531947,1182.3305531947,0,30109.9300000000,0.0000000000,-0.0662254345
2022-06-10 05:30:00,1182.3305531947,1182.3305531947,0,29091.8800000000,0.0000000000,-0.0662254345
2022-06-11 05:30:00,1182.3305531947,1182.3305531947,0,28424.7000000000,0.0000000000,-0.0662254345
2022-06-12 05:30:00,1182.3305531947,1182.3305531947,0,26574.5300000000,0.0000000000,-0.0662254345
2022-06-13 05:30:00,1362.1279000324,2361.1194272485,-1,22487.4100000000,0.1520702872,0.0000000000
2022-06-14 05:30:00,1377.7208930028,2361.1194272485,-1,22136.4100000000,0.0114475248,0.0000000000
2022-06-15 05:30:00,1357.8493782290,2361.1194272485,-1,22583.7200000000,-0.0144234691,-0.0144234691
2022-06-16 05:30:00,1454.8018106751,2361.1194272485,-1,20401.3100000000,0.0714014632,0.0000000000
2022-06-17 05:30:00,1451.8031581808,2361.1194272485,-1,20468.8100000000,-0.0020612103,-0.0020612103
2022-06-18 05:30:00,1518.3519198034,2361.1194272485,-1,18970.7900000000,0.0458386946,0.0000000000
2022-06-19 05:30:00,1447.1301469826,2361.1194272485,-1,20574.0000000000,-0.0469072893,-0.0469072893
2022-06-20 05:30:00,1447.1350336755,2361.1194272485,-1,20573.8900000000,0.0000033768,-0.0469040709
2022-06-21 05:30:00,1440.4877985241,2361.1194272485,-1,20723.5200000000,-0.0045933759,-0.0512819988
2022-06-22 05:30:00,1473.1633373262,2361.1194272485,-1,19987.9900000000,0.0226836623,-0.0297616000
2022-06-23 05:30:00,1423.3128497711,2361.1194272485,-1,21110.1300000000,-0.0338390770,-0.0625935719
2022-06-24 05:30:00,1417.6460629241,2361.1194272485,-1,21237.6900000000,-0.0039814064,-0.0663257678
2022-06-25 05:30:00,1406.3844568899,2361.1194272485,-1,21491.1900000000,-0.0079438771,-0.0737427611
2022-06-26 05:30:00,1426.5140779006,2361.1194272485,-1,21038.0700000000,0.0143130286,-0.0604852147
2022-06-27 05:30:00,1439.6419563983,2361.1194272485,-1,20742.5600000000,0.0092027683,-0.0518390779
2022-06-28 05:30:00,1460.1336369324,2361.1194272485,-1,20281.2900000000,0.0142338728,-0.0383430759
2022-06-29 05:30:00,1467.1651438479,2361.1194272485,-1,20123.0100000000,0.0048156598,-0.0337120632
2022-06-30 05:30:00,1475.1970900845,2361.1194272485,-1,19942.2100000000,0.0054744664,-0.0284221524
2022-07-01 05:30:00,1504.6243108068,2361.1194272485,-1,19279.8000000000,0.0199479927,-0.0090411247
